"VGS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","VDS
References : ['DC.IDS.i']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","DC.IDS.i
References : []
Dependency : [VGS,VDS]
Num. Points : [101,33]
Matrix Size : scalar
Type : Real"
-2.9300,8.0000,0.0198
-2.9300,9.0000,0.0213
-2.9300,10.0000,0.0226
-2.9300,11.0000,0.0238
-2.9300,12.0000,0.0249
-2.9300,13.0000,0.0259
-2.9300,14.0000,0.0268
-2.9300,15.0000,0.0276
-2.9300,16.0000,0.0283
-2.9300,17.0000,0.0290
-2.9300,18.0000,0.0297
-2.9300,19.0000,0.0302
-2.9300,20.0000,0.0308
-2.9300,21.0000,0.0312
-2.9300,22.0000,0.0317
-2.9300,23.0000,0.0321
-2.9300,24.0000,0.0324
-2.9300,25.0000,0.0327
-2.9300,26.0000,0.0330
-2.9300,27.0000,0.0333
-2.9300,28.0000,0.0336
-2.9300,29.0000,0.0338
-2.9300,30.0000,0.0340
-2.9300,31.0000,0.0342
-2.9300,32.0000,0.0344
-2.9200,0.0000,1.3996E-40
-2.9200,1.0000,3.2153E-5
-2.9200,2.0000,0.0047
-2.9200,3.0000,0.0099
-2.9200,4.0000,0.0138
-2.9200,5.0000,0.0168
-2.9200,6.0000,0.0192
-2.9200,7.0000,0.0213
-2.9200,8.0000,0.0231
-2.9200,9.0000,0.0247
-2.9200,10.0000,0.0261
-2.9200,11.0000,0.0274
-2.9200,12.0000,0.0285
-2.9200,13.0000,0.0296
-2.9200,14.0000,0.0305
-2.9200,15.0000,0.0314
-2.9200,16.0000,0.0322
-2.9200,17.0000,0.0330
-2.9200,18.0000,0.0336
-2.9200,19.0000,0.0342
-2.9200,20.0000,0.0348
-2.9200,21.0000,0.0353
-2.9200,22.0000,0.0357
-2.9200,23.0000,0.0362
-2.9200,24.0000,0.0365
-2.9200,25.0000,0.0369
-2.9200,26.0000,0.0372
-2.9200,27.0000,0.0375
-2.9200,28.0000,0.0377
-2.9200,29.0000,0.0380
-2.9200,30.0000,0.0382
-2.9200,31.0000,0.0384
-2.9200,32.0000,0.0386
-2.9100,0.0000,1.3996E-40
-2.9100,1.0000,0.0001
-2.9100,2.0000,0.0062
-2.9100,3.0000,0.0121
-2.9100,4.0000,0.0164
-2.9100,5.0000,0.0197
-2.9100,6.0000,0.0224
-2.9100,7.0000,0.0246
-2.9100,8.0000,0.0266
-2.9100,9.0000,0.0283
-2.9100,10.0000,0.0298
-2.9100,11.0000,0.0312
-2.9100,12.0000,0.0324
-2.9100,13.0000,0.0336
-2.9100,14.0000,0.0346
-2.9100,15.0000,0.0355
-2.9100,16.0000,0.0364
-2.9100,17.0000,0.0371
-2.9100,18.0000,0.0378
-2.9100,19.0000,0.0385
-2.9100,20.0000,0.0391
-2.9100,21.0000,0.0396
-2.9100,22.0000,0.0401
-2.9100,23.0000,0.0405
-2.9100,24.0000,0.0409
-2.9100,25.0000,0.0413
-2.9100,26.0000,0.0416
-2.9100,27.0000,0.0419
-2.9100,28.0000,0.0422
-2.9100,29.0000,0.0424
-2.9100,30.0000,0.0426
-2.9100,31.0000,0.0428
-2.9100,32.0000,0.0430
-2.9000,0.0000,1.4225E-40
-2.9000,1.0000,0.0003
-2.9000,2.0000,0.0078
-2.9000,3.0000,0.0146
-2.9000,4.0000,0.0193
-2.9000,5.0000,0.0229
-2.9000,6.0000,0.0258
-2.9000,7.0000,0.0283
-2.9000,8.0000,0.0303
-2.9000,9.0000,0.0322
-2.9000,10.0000,0.0338
-2.9000,11.0000,0.0353
-2.9000,12.0000,0.0366
-2.9000,13.0000,0.0378
-2.9000,14.0000,0.0389
-2.9000,15.0000,0.0399
-2.9000,16.0000,0.0408
-2.9000,17.0000,0.0416
-2.9000,18.0000,0.0423
-2.9000,19.0000,0.0430
-2.9000,20.0000,0.0436
-2.9000,21.0000,0.0442
-2.9000,22.0000,0.0447
-2.9000,23.0000,0.0451
-2.9000,24.0000,0.0455
-2.9000,25.0000,0.0459
-2.9000,26.0000,0.0462
-2.9000,27.0000,0.0465
-2.9000,28.0000,0.0468
-2.9000,29.0000,0.0471
-2.9000,30.0000,0.0473
-2.9000,31.0000,0.0475
-2.9000,32.0000,0.0477
-2.8900,0.0000,1.4225E-40
-2.8900,1.0000,0.0005
-2.8900,2.0000,0.0098
-2.8900,3.0000,0.0173
-2.8900,4.0000,0.0225
-2.8900,5.0000,0.0264
-2.8900,6.0000,0.0296
-2.8900,7.0000,0.0322
-2.8900,8.0000,0.0344
-2.8900,9.0000,0.0363
-2.8900,10.0000,0.0381
-2.8900,11.0000,0.0396
-2.8900,12.0000,0.0410
-2.8900,13.0000,0.0423
-2.8900,14.0000,0.0434
-2.8900,15.0000,0.0445
-2.8900,16.0000,0.0454
-2.8900,17.0000,0.0463
-2.8900,18.0000,0.0470
-2.8900,19.0000,0.0477
-2.8900,20.0000,0.0484
-2.8900,21.0000,0.0490
-2.8900,22.0000,0.0495
-2.8900,23.0000,0.0499
-2.8900,24.0000,0.0503
-2.8900,25.0000,0.0507
-2.8900,26.0000,0.0511
-2.8900,27.0000,0.0514
-2.8900,28.0000,0.0517
-2.8900,29.0000,0.0520
-2.8900,30.0000,0.0522
-2.8900,31.0000,0.0524
-2.8900,32.0000,0.0526
-2.8800,0.0000,1.4225E-40
-2.8800,1.0000,0.0009
-2.8800,2.0000,0.0120
-2.8800,3.0000,0.0204
-2.8800,4.0000,0.0260
-2.8800,5.0000,0.0302
-2.8800,6.0000,0.0336
-2.8800,7.0000,0.0363
-2.8800,8.0000,0.0387
-2.8800,9.0000,0.0408
-2.8800,10.0000,0.0426
-2.8800,11.0000,0.0442
-2.8800,12.0000,0.0457
-2.8800,13.0000,0.0470
-2.8800,14.0000,0.0482
-2.8800,15.0000,0.0493
-2.8800,16.0000,0.0503
-2.8800,17.0000,0.0512
-2.8800,18.0000,0.0520
-2.8800,19.0000,0.0527
-2.8800,20.0000,0.0534
-2.8800,21.0000,0.0540
-2.8800,22.0000,0.0545
-2.8800,23.0000,0.0550
-2.8800,24.0000,0.0554
-2.8800,25.0000,0.0558
-2.8800,26.0000,0.0562
-2.8800,27.0000,0.0565
-2.8800,28.0000,0.0568
-2.8800,29.0000,0.0571
-2.8800,30.0000,0.0573
-2.8800,31.0000,0.0575
-2.8800,32.0000,0.0577
-2.8700,0.0000,1.3995E-40
-2.8700,1.0000,0.0014
-2.8700,2.0000,0.0144
-2.8700,3.0000,0.0237
-2.8700,4.0000,0.0298
-2.8700,5.0000,0.0343
-2.8700,6.0000,0.0378
-2.8700,7.0000,0.0408
-2.8700,8.0000,0.0433
-2.8700,9.0000,0.0455
-2.8700,10.0000,0.0474
-2.8700,11.0000,0.0491
-2.8700,12.0000,0.0507
-2.8700,13.0000,0.0520
-2.8700,14.0000,0.0533
-2.8700,15.0000,0.0544
-2.8700,16.0000,0.0554
-2.8700,17.0000,0.0564
-2.8700,18.0000,0.0572
-2.8700,19.0000,0.0580
-2.8700,20.0000,0.0586
-2.8700,21.0000,0.0592
-2.8700,22.0000,0.0598
-2.8700,23.0000,0.0603
-2.8700,24.0000,0.0607
-2.8700,25.0000,0.0611
-2.8700,26.0000,0.0615
-2.8700,27.0000,0.0618
-2.8700,28.0000,0.0621
-2.8700,29.0000,0.0624
-2.8700,30.0000,0.0626
-2.8700,31.0000,0.0629
-2.8700,32.0000,0.0630
-2.8600,0.0000,1.3995E-40
-2.8600,1.0000,0.0020
-2.8600,2.0000,0.0171
-2.8600,3.0000,0.0272
-2.8600,4.0000,0.0338
-2.8600,5.0000,0.0386
-2.8600,6.0000,0.0424
-2.8600,7.0000,0.0455
-2.8600,8.0000,0.0481
-2.8600,9.0000,0.0504
-2.8600,10.0000,0.0524
-2.8600,11.0000,0.0542
-2.8600,12.0000,0.0558
-2.8600,13.0000,0.0573
-2.8600,14.0000,0.0586
-2.8600,15.0000,0.0598
-2.8600,16.0000,0.0608
-2.8600,17.0000,0.0618
-2.8600,18.0000,0.0626
-2.8600,19.0000,0.0634
-2.8600,20.0000,0.0641
-2.8600,21.0000,0.0647
-2.8600,22.0000,0.0653
-2.8600,23.0000,0.0658
-2.8600,24.0000,0.0662
-2.8600,25.0000,0.0666
-2.8600,26.0000,0.0670
-2.8600,27.0000,0.0673
-2.8600,28.0000,0.0676
-2.8600,29.0000,0.0679
-2.8600,30.0000,0.0682
-2.8600,31.0000,0.0684
-2.8600,32.0000,0.0686
-2.8500,0.0000,1.3994E-40
-2.8500,1.0000,0.0028
-2.8500,2.0000,0.0201
-2.8500,3.0000,0.0311
-2.8500,4.0000,0.0381
-2.8500,5.0000,0.0432
-2.8500,6.0000,0.0472
-2.8500,7.0000,0.0504
-2.8500,8.0000,0.0532
-2.8500,9.0000,0.0556
-2.8500,10.0000,0.0577
-2.8500,11.0000,0.0596
-2.8500,12.0000,0.0613
-2.8500,13.0000,0.0628
-2.8500,14.0000,0.0641
-2.8500,15.0000,0.0653
-2.8500,16.0000,0.0664
-2.8500,17.0000,0.0674
-2.8500,18.0000,0.0683
-2.8500,19.0000,0.0691
-2.8500,20.0000,0.0698
-2.8500,21.0000,0.0704
-2.8500,22.0000,0.0710
-2.8500,23.0000,0.0715
-2.8500,24.0000,0.0719
-2.8500,25.0000,0.0723
-2.8500,26.0000,0.0727
-2.8500,27.0000,0.0731
-2.8500,28.0000,0.0734
-2.8500,29.0000,0.0736
-2.8500,30.0000,0.0739
-2.8500,31.0000,0.0741
-2.8500,32.0000,0.0743
-2.8400,0.0000,1.4224E-40
-2.8400,1.0000,0.0038
-2.8400,2.0000,0.0234
-2.8400,3.0000,0.0352
-2.8400,4.0000,0.0427
-2.8400,5.0000,0.0481
-2.8400,6.0000,0.0522
-2.8400,7.0000,0.0557
-2.8400,8.0000,0.0585
-2.8400,9.0000,0.0610
-2.8400,10.0000,0.0632
-2.8400,11.0000,0.0652
-2.8400,12.0000,0.0669
-2.8400,13.0000,0.0685
-2.8400,14.0000,0.0698
-2.8400,15.0000,0.0711
-2.8400,16.0000,0.0722
-2.8400,17.0000,0.0732
-2.8400,18.0000,0.0741
-2.8400,19.0000,0.0749
-2.8400,20.0000,0.0757
-2.8400,21.0000,0.0763
-2.8400,22.0000,0.0769
-2.8400,23.0000,0.0774
-2.8400,24.0000,0.0778
-2.8400,25.0000,0.0782
-2.8400,26.0000,0.0786
-2.8400,27.0000,0.0790
-2.8400,28.0000,0.0792
-2.8400,29.0000,0.0795
-2.8400,30.0000,0.0798
-2.8400,31.0000,0.0800
-2.8400,32.0000,0.0801
-2.8300,0.0000,1.3994E-40
-2.8300,1.0000,0.0050
-2.8300,2.0000,0.0269
-2.8300,3.0000,0.0396
-2.8300,4.0000,0.0475
-2.8300,5.0000,0.0532
-2.8300,6.0000,0.0575
-2.8300,7.0000,0.0611
-2.8300,8.0000,0.0641
-2.8300,9.0000,0.0667
-2.8300,10.0000,0.0690
-2.8300,11.0000,0.0710
-2.8300,12.0000,0.0728
-2.8300,13.0000,0.0744
-2.8300,14.0000,0.0758
-2.8300,15.0000,0.0771
-2.8300,16.0000,0.0782
-2.8300,17.0000,0.0793
-2.8300,18.0000,0.0802
-2.8300,19.0000,0.0810
-2.8300,20.0000,0.0817
-2.8300,21.0000,0.0824
-2.8300,22.0000,0.0830
-2.8300,23.0000,0.0835
-2.8300,24.0000,0.0839
-2.8300,25.0000,0.0843
-2.8300,26.0000,0.0847
-2.8300,27.0000,0.0850
-2.8300,28.0000,0.0853
-2.8300,29.0000,0.0856
-2.8300,30.0000,0.0858
-2.8300,31.0000,0.0860
-2.8300,32.0000,0.0862
-2.8200,0.0000,1.4223E-40
-2.8200,1.0000,0.0064
-2.8200,2.0000,0.0308
-2.8200,3.0000,0.0443
-2.8200,4.0000,0.0526
-2.8200,5.0000,0.0585
-2.8200,6.0000,0.0631
-2.8200,7.0000,0.0668
-2.8200,8.0000,0.0699
-2.8200,9.0000,0.0726
-2.8200,10.0000,0.0750
-2.8200,11.0000,0.0770
-2.8200,12.0000,0.0789
-2.8200,13.0000,0.0805
-2.8200,14.0000,0.0820
-2.8200,15.0000,0.0833
-2.8200,16.0000,0.0844
-2.8200,17.0000,0.0855
-2.8200,18.0000,0.0864
-2.8200,19.0000,0.0872
-2.8200,20.0000,0.0880
-2.8200,21.0000,0.0887
-2.8200,22.0000,0.0892
-2.8200,23.0000,0.0898
-2.8200,24.0000,0.0902
-2.8200,25.0000,0.0906
-2.8200,26.0000,0.0909
-2.8200,27.0000,0.0913
-2.8200,28.0000,0.0916
-2.8200,29.0000,0.0918
-2.8200,30.0000,0.0920
-2.8200,31.0000,0.0922
-2.8200,32.0000,0.0924
-2.8100,0.0000,1.4223E-40
-2.8100,1.0000,0.0081
-2.8100,2.0000,0.0349
-2.8100,3.0000,0.0493
-2.8100,4.0000,0.0580
-2.8100,5.0000,0.0641
-2.8100,6.0000,0.0689
-2.8100,7.0000,0.0727
-2.8100,8.0000,0.0760
-2.8100,9.0000,0.0787
-2.8100,10.0000,0.0812
-2.8100,11.0000,0.0833
-2.8100,12.0000,0.0852
-2.8100,13.0000,0.0868
-2.8100,14.0000,0.0883
-2.8100,15.0000,0.0896
-2.8100,16.0000,0.0908
-2.8100,17.0000,0.0919
-2.8100,18.0000,0.0928
-2.8100,19.0000,0.0937
-2.8100,20.0000,0.0944
-2.8100,21.0000,0.0951
-2.8100,22.0000,0.0957
-2.8100,23.0000,0.0962
-2.8100,24.0000,0.0966
-2.8100,25.0000,0.0970
-2.8100,26.0000,0.0974
-2.8100,27.0000,0.0977
-2.8100,28.0000,0.0979
-2.8100,29.0000,0.0982
-2.8100,30.0000,0.0984
-2.8100,31.0000,0.0986
-2.8100,32.0000,0.0987
-2.8000,0.0000,1.3993E-40
-2.8000,1.0000,0.0099
-2.8000,2.0000,0.0392
-2.8000,3.0000,0.0545
-2.8000,4.0000,0.0636
-2.8000,5.0000,0.0700
-2.8000,6.0000,0.0749
-2.8000,7.0000,0.0789
-2.8000,8.0000,0.0822
-2.8000,9.0000,0.0851
-2.8000,10.0000,0.0875
-2.8000,11.0000,0.0897
-2.8000,12.0000,0.0916
